date,US_inflation,MI_inflation
2023-01-01,299.17,277.332
2023-02-01,300.84,278.672
2023-03-01,301.836,280.33
2023-04-01,303.363,281.927
2023-05-01,304.127,282.656
2023-06-01,305.109,283.741
2023-07-01,305.691,284.64
2023-08-01,307.026,285.122
2023-09-01,307.789,285.276
2023-10-01,307.671,284.981
2023-11-01,307.051,284.539
2023-12-01,306.746,283.908
2024-01-01,308.417,284.731
2024-02-01,310.326,286.346
2024-03-01,312.332,288.301
2024-04-01,313.548,289.718
2024-05-01,314.069,290.355
2024-06-01,314.175,290.779
2024-07-01,314.54,292.256
2024-08-01,314.796,292.559
2024-09-01,315.301,292.547
2024-10-01,315.664,292.291
2024-11-01,315.493,292.022
2024-12-01,315.605,292.533
2025-01-01,317.671,294.404
2025-02-01,319.082,295.232
2025-03-01,319.799,296.227
2025-04-01,320.795,296.688
2025-05-01,321.465,297.342
2025-06-01,322.561,299.529
2025-07-01,323.048,299.836
2025-08-01,323.976,300.753
2025-09-01,324.8,301.579
2025-10-01,,
2025-11-01,324.122,300.771
2025-12-01,324.054,300.404
